"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long","quant","fit","resid","stdev"
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-1034",0.024,"ppm",29.767971,-95.220587,1,0.0213365952326056,0.00266340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0075",0.019,"ppm",29.752778,-95.350278,1,0.0213365952326056,-0.00233659523260563,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-039-1016",0.026,"ppm",29.043759,-95.472946,1,0.0213365952326056,0.00466340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-1039",0.031,"ppm",29.670025,-95.128508,1,0.0213365952326056,0.00966340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0070",0.025,"ppm",29.735129,-95.315583,1,0.0213365952326056,0.00366340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0066",0.027,"ppm",29.724722,-95.503611,1,0.0213365952326056,0.00566340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-1015",0.03,"ppm",29.761653,-95.081386,1,0.0213365952326056,0.00866340476739437,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-1039",0.036,"ppm",29.670025,-95.128508,1,0.0252561312697732,0.0107438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0075",0.021,"ppm",29.752778,-95.350278,1,0.0252561312697732,-0.0042561312697732,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0066",0.029,"ppm",29.724722,-95.503611,1,0.0252561312697732,0.0037438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0024",0.028,"ppm",29.901037,-95.326125,1,0.0252561312697732,0.0027438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0029",0.027,"ppm",30.039534,-95.6739,1,0.0252561312697732,0.0017438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0055",0.03,"ppm",29.695744,-95.499262,1,0.0252561312697732,0.0047438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-1015",0.033,"ppm",29.761653,-95.081386,1,0.0252561312697732,0.0077438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-339-0078",0.03,"ppm",30.350302,-95.425128,1,0.0252561312697732,0.0047438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0051",0.033,"ppm",29.623611,-95.473611,1,0.0252561312697732,0.0077438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-039-1016",0.041,"ppm",29.043759,-95.472946,1,0.0252561312697732,0.0157438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-1035",0.024,"ppm",29.733726,-95.257593,1,0.0252561312697732,-0.0012561312697732,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0047",0.017,"ppm",29.834722,-95.489167,1,0.0252561312697732,-0.0082561312697732,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-167-1034",0.04,"ppm",29.254474,-94.861289,1,0.0252561312697732,0.0147438687302268,0.00624178932252342
