"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long"
"2011-01-07",74,44,59,39,6,0,717,1738,0,29.81,6.4,"48-201-1050",0.05,"ppm",29.583047,-95.015544
"2011-01-07",74,44,59,39,6,0,717,1738,0,29.81,6.4,"48-167-1034",0.052,"ppm",29.254474,-94.861289
"2011-01-07",74,44,59,39,6,0,717,1738,0,29.81,6.4,"48-039-1004",0.054,"ppm",29.520443,-95.392509
"2011-01-07",74,44,59,39,6,0,717,1738,0,29.81,6.4,"48-339-0078",0.047,"ppm",30.350302,-95.425128
"2011-01-07",74,44,59,39,6,0,717,1738,0,29.81,6.4,"48-201-0051",0.049,"ppm",29.623611,-95.473611
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0055",0.032,"ppm",29.695744,-95.499262
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0062",0.033,"ppm",29.625833,-95.2675
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-039-1004",0.041,"ppm",29.520443,-95.392509
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0029",0.038,"ppm",30.039534,-95.6739
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0024",0.033,"ppm",29.901037,-95.326125
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-1034",0.029,"ppm",29.767971,-95.220587
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-1035",0.035,"ppm",29.733726,-95.257593
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0047",0.031,"ppm",29.834722,-95.489167
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0070",0.029,"ppm",29.735129,-95.315583
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0046",0.031,"ppm",29.828086,-95.284096
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0416",0.035,"ppm",29.686389,-95.294722
